date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:31	22/22	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2008:51:23%20GMT	https://new.axilthemes.com/robots.txt		(from )
15:51:31	284880/284880	---MCZ	200	added ('OK')	text/html	etag:W/%2262b443da-458d0%22	https://new.axilthemes.com/demo/template/blogar/	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/index.html	(from )
15:51:31	2030/2030	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-7ee%22	https://new.axilthemes.com/demo/template/blogar/assets/images/favicon.png	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:32	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2261a0ca00-28021%22	https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:33	156666/156666	---MCZ	200	added ('OK')	text/css	etag:W/%2261a0a74f-263fa%22	https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:33	1749/1749	---M--	200	added ('OK')	text/css	etag:%2261a0a74f-6d5%22	https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:33	3166/3166	---M--	200	added ('OK')	text/css	etag:%2261a0a74f-c5e%22	https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:33	6139/6139	---M--	200	added ('OK')	text/css	etag:%2261a0a74f-17fb%22	https://new.axilthemes.com/demo/template/blogar/assets/css/vendor/base.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/vendor/base.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:34	0/0	---M--	200	added ('OK')	text/css	etag:%2261a0a74f-0%22	https://new.axilthemes.com/demo/template/blogar/assets/css/plugins/plugins.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/plugins/plugins.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:35	268609/268609	---MCZ	200	added ('OK')	text/css	etag:W/%2262b443da-41941%22	https://new.axilthemes.com/demo/template/blogar/assets/css/style.css	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/css/style.css	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:35	284880/284880	---MCZ	200	added ('OK')	text/html	etag:W/%2262b443da-458d0%22	https://new.axilthemes.com/demo/template/blogar/index.html	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/index-2.html	(from https://new.axilthemes.com/demo/template/blogar/)
15:51:35	3903/3903	---M--	200	added ('OK')	image/png	etag:%2261a0a74f-f3f%22	https://new.axilthemes.com/demo/template/blogar/assets/images/logo/logo-black.png	C:/My%20Web%20Sites/numbertwo/new.axilthemes.com/demo/template/blogar/assets/images/logo/logo-black.png	(from https://new.axilthemes.com/demo/template/blogar/)
